gpa, credits, isDisciplined, activityScore, expected
-0.1, 12, false, 80, INVALID
4.1, 12, false, 80, INVALID
3.2, -1, false, 80, INVALID
3.2, 12, false, -1, INVALID
3.2, 12, false, 101, INVALID
1.0, 12, false, 80, UNQUALIFIED
3.2, 6, false, 80, UNQUALIFIED
3.2, 12, true, 80, UNQUALIFIED
3.2, 12, false, 35, UNQUALIFIED
2.5, 12, false, 70, GOOD
2.5, 12, false, 80, GOOD
2.5, 12, false, 90, GOOD
3.2, 12, false, 70, GOOD
3.6, 12, false, 70, GOOD
3.2, 12, false, 80, VERY_GOOD
3.2, 12, false, 90, VERY_GOOD
3.6, 12, false, 80, VERY_GOOD
3.6, 12, false, 90, EXCELLENT
